Format,1.0B,
Memory Length,10000,Memory Length,10000,Memory Length,10000,
IntpDistance,0,IntpDistance,0,IntpDistance,0,
Trigger Address,-2251,Trigger Address,-2251,Trigger Address,-2251,
Trigger Level,-3.200E-01,Trigger Level,-3.200E-01,Trigger Level,-3.200E-01,
Source,CH2,Source,CH3,Source,CH4,
Vertical Units,V,Vertical Units,V,Vertical Units,V,
Vertical Units Div,0,Vertical Units Div,0,Vertical Units Div,0,
Vertical Units Extend Div,15,Vertical Units Extend Div,15,Vertical Units Extend Div,15,
Label, ,Label, ,Label, ,
Probe Type,0,Probe Type,0,Probe Type,0,
Probe Ratio,1.000E+00,Probe Ratio,1.000E+00,Probe Ratio,1.000E+00,
Vertical Scale,1.000E+00,Vertical Scale,5.000E-02,Vertical Scale,2.000E+00,
Vertical Position,2.840E+00,Vertical Position,2.000E-01,Vertical Position,-8.000E-02,
Horizontal Units,S,Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,5.000E-04,Horizontal Scale,5.000E-04,Horizontal Scale,5.000E-04,
Horizontal Position,3.625E-03,Horizontal Position,3.625E-03,Horizontal Position,3.625E-03,
Horizontal Mode,Main,Horizontal Mode,Main,Horizontal Mode,Main,
SincET Mode,Real Time,SincET Mode,Real Time,SincET Mode,Real Time,
Sampling Period,5.000E-07,Sampling Period,5.000E-07,Sampling Period,5.000E-07,
Horizontal Old Scale,5.000E-04,Horizontal Old Scale,5.000E-04,Horizontal Old Scale,5.000E-04,
Horizontal Old Position,3.625E-03,Horizontal Old Position,3.625E-03,Horizontal Old Position,3.625E-03,
Firmware,V1.09,Firmware,V1.09,Firmware,V1.09,
Mode,Detail,Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,Waveform Data,,
1.230000e-03,2.720000,1.230000e-03,-0.032000,1.230000e-03,1.840000,
1.230500e-03,2.760000,1.230500e-03,-0.020000,1.230500e-03,1.840000,
1.231000e-03,2.760000,1.231000e-03,-0.014000,1.231000e-03,1.840000,
1.231500e-03,2.720000,1.231500e-03,-0.014000,1.231500e-03,1.840000,
1.232000e-03,2.720000,1.232000e-03,-0.030000,1.232000e-03,1.840000,
1.232500e-03,2.720000,1.232500e-03,-0.024000,1.232500e-03,1.840000,
1.233000e-03,2.720000,1.233000e-03,-0.022000,1.233000e-03,1.840000,
1.233500e-03,2.720000,1.233500e-03,-0.030000,1.233500e-03,1.840000,
1.234000e-03,2.720000,1.234000e-03,-0.024000,1.234000e-03,1.840000,
1.234500e-03,2.720000,1.234500e-03,-0.022000,1.234500e-03,1.840000,
1.235000e-03,2.720000,1.235000e-03,-0.028000,1.235000e-03,1.840000,
1.235500e-03,2.720000,1.235500e-03,-0.024000,1.235500e-03,1.840000,
1.236000e-03,2.760000,1.236000e-03,-0.016000,1.236000e-03,1.840000,
1.236500e-03,2.720000,1.236500e-03,-0.020000,1.236500e-03,1.840000,
1.237000e-03,2.720000,1.237000e-03,-0.028000,1.237000e-03,1.840000,
1.237500e-03,2.720000,1.237500e-03,-0.024000,1.237500e-03,1.840000,
1.238000e-03,2.760000,1.238000e-03,-0.022000,1.238000e-03,1.840000,
1.238500e-03,2.760000,1.238500e-03,-0.022000,1.238500e-03,1.840000,
1.239000e-03,2.760000,1.239000e-03,-0.032000,1.239000e-03,1.840000,
1.239500e-03,2.720000,1.239500e-03,-0.012000,1.239500e-03,1.840000,
1.240000e-03,2.720000,1.240000e-03,-0.028000,1.240000e-03,1.840000,
1.240500e-03,2.720000,1.240500e-03,-0.012000,1.240500e-03,1.840000,
1.241000e-03,2.720000,1.241000e-03,-0.032000,1.241000e-03,1.840000,
1.241500e-03,2.720000,1.241500e-03,-0.016000,1.241500e-03,1.840000,
1.242000e-03,2.760000,1.242000e-03,-0.024000,1.242000e-03,1.840000,
1.242500e-03,2.720000,1.242500e-03,-0.016000,1.242500e-03,1.840000,
1.243000e-03,2.720000,1.243000e-03,-0.024000,1.243000e-03,1.840000,
1.243500e-03,2.720000,1.243500e-03,-0.036000,1.243500e-03,1.840000,
1.244000e-03,2.720000,1.244000e-03,-0.016000,1.244000e-03,1.840000,
1.244500e-03,2.720000,1.244500e-03,-0.024000,1.244500e-03,1.840000,
1.245000e-03,2.720000,1.245000e-03,-0.022000,1.245000e-03,1.840000,
1.245500e-03,2.720000,1.245500e-03,-0.012000,1.245500e-03,1.840000,
1.246000e-03,2.720000,1.246000e-03,-0.022000,1.246000e-03,1.840000,
1.246500e-03,2.720000,1.246500e-03,-0.016000,1.246500e-03,1.840000,
1.247000e-03,2.720000,1.247000e-03,-0.038000,1.247000e-03,1.840000,
1.247500e-03,2.720000,1.247500e-03,-0.020000,1.247500e-03,1.840000,
1.248000e-03,2.720000,1.248000e-03,-0.020000,1.248000e-03,1.840000,
1.248500e-03,2.720000,1.248500e-03,-0.024000,1.248500e-03,1.840000,
1.249000e-03,2.720000,1.249000e-03,-0.032000,1.249000e-03,1.840000,
1.249500e-03,2.720000,1.249500e-03,-0.028000,1.249500e-03,1.840000,
1.250000e-03,2.720000,1.250000e-03,-0.024000,1.250000e-03,1.840000,
1.250500e-03,2.760000,1.250500e-03,-0.020000,1.250500e-03,1.840000,
1.251000e-03,2.760000,1.251000e-03,-0.020000,1.251000e-03,1.840000,
1.251500e-03,2.720000,1.251500e-03,-0.028000,1.251500e-03,1.840000,
1.252000e-03,2.720000,1.252000e-03,-0.020000,1.252000e-03,1.840000,
1.252500e-03,2.720000,1.252500e-03,-0.020000,1.252500e-03,1.840000,
1.253000e-03,2.720000,1.253000e-03,-0.016000,1.253000e-03,1.840000,
